Credit Score,First Payment Date,First Time Homebuyer Flag,Maturity Date,MSA Code,MI %,Number of units,Occupancy Status,Original Combined LTV,Original DI Ratio,Original UPB,Original LTV,Original Interest Rate,Channel,PPM Flag,Product Type,Property State,Property Type,Postal Code,Loan Sequence Number,Loan Purpose,Original Loan Term,Number of Borrowers,Seller Name,Servicer Name
801,201304,9,204303,27980,0,1,P,78,45,545000,78,3.5,R,N,FRM,HI,SF,96700,F113Q1000058,N,360,1,Other sellers,Other servicers
803,201303,9,204302,46520,0,1,P,30,22,77000,30,3.625,R,N,FRM,HI,CO,96700,F113Q1000078,C,360,1,Other sellers,Other servicers
770,201303,9,204302,27980,0,1,I,75,36,390000,75,4,R,N,FRM,HI,SF,96700,F113Q1000083,N,360,2,Other sellers,Other servicers
711,201305,9,204304,46520,0,1,P,77,38,626000,74,4,R,N,FRM,HI,SF,96700,F113Q1000094,N,360,2,Other sellers,Other servicers
800,201305,9,204304,46520,30,1,P,94,21,526000,94,3.75,R,N,FRM,HI,CO,96700,F113Q1000106,N,360,1,Other sellers,Other servicers
757,201303,9,204302,46520,0,1,P,80,26,192000,80,3.75,R,N,FRM,HI,CO,96700,F113Q1000119,C,360,1,Other sellers,Other servicers
811,201304,9,204303,,0,1,S,80,23,251000,80,3.5,R,N,FRM,HI,SF,96700,F113Q1000137,N,360,1,Other sellers,USBANKNA
706,201305,9,204304,46520,0,1,P,80,32,581000,75,3.625,R,N,FRM,HI,SF,96800,F113Q1000017,C,360,2,Other sellers,Other servicers
771,201303,9,204302,46520,0,1,P,75,24,227000,75,3.625,R,N,FRM,HI,CO,96800,F113Q1000093,N,360,2,Other sellers,Other servicers
793,201303,9,204302,38900,0,1,P,88,31,233000,58,3.625,R,N,FRM,OR,SF,97200,F113Q1000024,N,360,2,Other sellers,Other servicers
763,201303,9,204302,38900,30,1,P,95,31,162000,95,3.75,R,N,FRM,OR,SF,97200,F113Q1000081,N,360,2,Other sellers,Other servicers
728,201303,9,204302,,0,1,S,75,48,307000,75,3.75,R,N,FRM,OR,SF,97800,F113Q1000057,N,360,2,Other sellers,NATIONSTARMTGELLCDBA
795,201303,9,204302,42644,0,1,I,75,38,131000,75,3.5,R,N,FRM,WA,SF,98200,F113Q1000082,N,360,1,Other sellers,NATIONSTARMTGELLCDBA
755,201305,9,204304,48300,0,1,P,72,50,304000,72,3.75,R,N,FRM,WA,SF,98800,F113Q1000025,C,360,2,Other sellers,Other servicers
784,201303,N,204302,11260,30,1,P,95,33,285000,95,3.125,R,N,FRM,AK,SF,99500,F113Q1000063,P,360,2,Other sellers,Other servicers
723,201303,9,204302,11260,0,1,P,73,44,353000,70,3.5,R,N,FRM,AK,SF,99500,F113Q1000191,N,360,1,Other sellers,NATIONSTARMTGELLCDBA
794,201303,9,204302,11260,0,1,P,53,19,186000,53,3.125,R,N,FRM,AK,SF,99500,F113Q1000196,N,360,1,Other sellers,USBANKNA
789,201303,9,204302,,0,1,I,58,46,300000,58,3.5,R,N,FRM,AK,SF,99800,F113Q1000050,P,360,1,Other sellers,Other servicers
756,201304,9,204303,,0,1,P,63,16,377000,63,3.625,R,N,FRM,AK,SF,99800,F113Q1000089,C,360,2,Other sellers,Other servicers
812,201303,Y,204302,,0,1,P,75,33,280000,75,3.375,R,N,FRM,AK,SF,99800,F113Q1000154,P,360,1,Other sellers,Other servicers
